Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical
1.307610924252698703e-01,7.889732334258055257e-02,6.648931781177089828e-01,2.074064560481935285e-02,1.174263842403888702e-01,2.031060643494129181e-01,5.700001120567321777e-02,1.360775803556265595e-01,2.124173211915560411e-01,8.813270042875953614e-02,2.124173211915560411e-01,8.813270042875953614e-02
1.315178325974537821e-01,7.856205966176758870e-02,6.645721346081390202e-01,2.085172605467418283e-02,1.174263842403888702e-01,2.031060643494129181e-01,5.700001120567321777e-02,1.367029275117389586e-01,2.132773554796447146e-01,8.742355113081223816e-02,2.132773554796447146e-01,8.742355113081223816e-02
1.245597317875743459e-01,8.070211087879765322e-02,6.694956538286580550e-01,2.073897592157006656e-02,7.788712903857231140e-02,1.975615099072456360e-01,2.650000154972076416e-01,1.244142511943089197e-01,2.357838507518436599e-01,2.854779736318073802e-01,2.854779736318073802e-01,1.244142511943089197e-01
1.236265171072394864e-01,8.077535926051020165e-02,6.726524743173443177e-01,2.078223879589852913e-02,7.788712903857231140e-02,1.975615099072456360e-01,2.650000154972076416e-01,1.279173764762810972e-01,2.363207682976164459e-01,2.856062880969081341e-01,2.856062880969081341e-01,1.279173764762810972e-01
1.210143472892121347e-01,8.150704764246850809e-02,6.629290233350589867e-01,2.086125681344743604e-02,1.243501827120780945e-01,2.026738896965980530e-01,2.640000283718109131e-01,1.944710192922005643e-01,2.441049019452205537e-01,2.939148837181316254e-01,2.939148837181316254e-01,1.944710192922005643e-01
1.171794451587237773e-01,8.053088758298183880e-02,6.639932184360654022e-01,2.090399547170753922e-02,1.243501827120780945e-01,2.026738896965980530e-01,2.640000283718109131e-01,2.206920520704926392e-01,2.375872800891568881e-01,2.924795418660701696e-01,2.924795418660701696e-01,2.206920520704926392e-01
1.094169149649686368e-01,8.383218473355304179e-02,6.779706519480147575e-01,2.088562179105606445e-02,7.824811432510614395e-02,1.979547664523124695e-01,2.640000283718109131e-01,1.365258275495822293e-01,2.362565022274964177e-01,2.848132622168419448e-01,2.848132622168419448e-01,1.365258275495822293e-01
1.079102609262537066e-01,8.384597287204423322e-02,6.803760167993555541e-01,2.086456203897700881e-02,7.824811432510614395e-02,1.979547664523124695e-01,2.640000283718109131e-01,1.399415466835798039e-01,2.356575890631009695e-01,2.840892488514250025e-01,2.840892488514250025e-01,1.399415466835798039e-01
1.215916535183558383e-01,7.859430995652492979e-02,6.650962008512365520e-01,2.074347817261806490e-02,1.172152459621429443e-01,2.038536891341209412e-01,5.200001597404479980e-02,1.444591414784718586e-01,2.226000535963464366e-01,8.431002287383704275e-02,2.226000535963464366e-01,8.431002287383704275e-02
1.239256956433412576e-01,7.896670006616847426e-02,6.660797378520163514e-01,2.066984020265221628e-02,1.172152459621429443e-01,2.038536891341209412e-01,5.200001597404479980e-02,1.473029914311377309e-01,2.254071581876340991e-01,8.523906597008890085e-02,2.254071581876340991e-01,8.523906597008890085e-02
1.148839636205861159e-01,8.465612393689472825e-02,6.695245065266881568e-01,2.108626436031802928e-02,1.152591779828071594e-01,2.051277682185173035e-01,2.640000283718109131e-01,2.120748289393253327e-01,2.395698031639522108e-01,2.903470543748260524e-01,2.903470543748260524e-01,2.120748289393253327e-01
1.160457493158476294e-01,8.423179543646516776e-02,6.682921689277888655e-01,2.113050051807322666e-02,1.152591779828071594e-01,2.051277682185173035e-01,2.640000283718109131e-01,2.099431481016594547e-01,2.391678771031993112e-01,2.901314897601945386e-01,2.901314897601945386e-01,2.099431481016594547e-01
1.151950248241638969e-01,8.185774768184041206e-02,6.765921761158146808e-01,2.086482169661843175e-02,7.769733853638172150e-02,1.974671967327594757e-01,4.600000381469726562e-02,7.977993617780332336e-02,1.986127989397400984e-01,5.093898032679100574e-02,1.986127989397400984e-01,5.093898032679100574e-02
1.165203507033450436e-01,8.149234714891009923e-02,6.752553488519483782e-01,2.082884518440147534e-02,7.705835439264774323e-02,1.978604532778263092e-01,4.600000381469726562e-02,8.006090114818605052e-02,1.988638175157892984e-01,5.264012884635504985e-02,1.988638175157892984e-01,5.264012884635504985e-02
1.231552168936342478e-01,7.741794448851380128e-02,6.603225480554475446e-01,2.078239234103950936e-02,1.168381087481975555e-01,2.046401873230934143e-01,2.650000154972076416e-01,2.859150782929718582e-01,2.294603088081771380e-01,2.912887783774433248e-01,2.912887783774433248e-01,2.294603088081771380e-01
1.221136079920985829e-01,7.758079657182902211e-02,6.624166966170468296e-01,2.059277727400824973e-02,1.168381087481975555e-01,2.046401873230934143e-01,2.650000154972076416e-01,2.787670341271350494e-01,2.306230609063275594e-01,2.904660484587100466e-01,2.904660484587100466e-01,2.306230609063275594e-01
